Model,1d,5d,22d,60d,90d,120d,180d,252d
NaiveRV,-0.5661,0.3177,0.7074,0.7881,0.7647,0.7021,0.5879,0.5042
RepeatRV,-0.1479,0.5116,0.7074,0.7141,0.7098,0.6672,0.5819,0.4565
GARCH,-0.5161,-0.1540,-0.1306,-0.2720,-0.3369,-0.3812,-0.4173,-0.3724
IV-only,0.0103,0.1849,0.2182,0.2199,0.2139,0.2091,0.1986,0.1689
HAR-3,0.1095,0.5739,0.7605,0.7854,0.7858,0.7731,0.7423,0.6941
WEns,0.1176,0.6249,0.7974,0.7853,0.7753,0.7683,0.7647,0.7342
