alpha,r2
0.001,0.7934252029481077
0.01,0.7934257509612463
0.1,0.7934305064358167
0.5,0.7934456820674289
1.0,0.7934688024925247
5.0,0.7938775697730704
10.0,0.7944751495874782
50.0,0.7973826798747979
100.0,0.7990039770873083
500.0,0.8019946307952075
1000.0,0.8018075037256741
5000.0,0.7880900256303265
