Feature_Set,Model,r2,rmse,mae
Base (14),Ridge,0.7280840702949745,0.5449633934920833,0.4313353490219294
Base (14),XGBoost,0.7357544245712695,0.5372220965327845,0.4285316797447948
Base (14),MLP,0.6804593569089518,0.5907626878123299,0.4621740738370331
All (37),Ridge,0.7731953763633229,0.49770953074123037,0.3970266608318383
All (37),XGBoost,0.7611471518841807,0.5107580467019063,0.407539087509937
All (37),MLP,0.5726022386853656,0.6832287402524321,0.5403737144338663
