Model,R2_Score
Weighted Ensemble,0.8025240129540704
All Features (Ridge),0.797783456210325
Base + HF + IV,0.7955525853941319
Base + IV Surface,0.7838143595974321
Base + HF Proxy,0.7788333636197791
All Features (XGBoost),0.7725199000529193
Base + Alt Data,0.7649376567765144
Base only,0.7581424033314654
